@relation 2CHT.txt-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute atr1 numeric
@attribute atr2 numeric
@attribute class {0,1}

@data
0.102092,0.413371,0
0.131545,0.437685,0
0.139658,0.341153,0
0.109402,0.496825,0
0.127222,0.18804,0
0.074577,0.476475,0
0.274803,0.61603,1
0.282467,0.157906,1
0.145228,0.490609,0
0.118603,0.548569,0
0.266748,0.44082,1
0.092715,0.597089,0
0.224784,0.544941,1
0.273761,0.326865,1
0.209895,0.568461,1
0.094717,0.636847,0
0.090384,0.574308,0
0.320521,0.572829,1
0.127399,0.538953,0
0.076018,0.504936,0
0.125427,0.375936,0
0.189743,0.583061,0
0.098045,0.628816,0
0.249684,0.476643,1
0.117975,0.598295,0
0.28515,0.398926,1
0.276662,0.356398,1
0.152407,0.472477,0
0.305938,0.546068,1
0.078828,0.42821,0
0.154293,0.616171,0
0.236872,0.43721,1
0.269976,0.527901,1
0.244948,0.280837,1
0.129109,0.656132,0
0.234241,0.53632,1
0.115112,0.654723,0
0.191902,0.388449,1
0.254702,0.488134,1
0.242081,0.41344,1
0.096413,0.515556,0
0.15746,0.35525,0
0.268904,0.408769,1
0.313681,0.453694,1
0.193688,0.560897,0
0.202818,0.525057,0
0.21484,0.408827,1
0.20114,0.495945,1
0.19387,0.559373,0
0.245929,0.722871,1
0.252843,0.483282,1
0.180074,0.64759,0
0.10037,0.509629,0
0.193182,0.513028,1
0.127841,0.537693,0
0.354633,0.529803,1
0.096328,0.220533,0
0.066458,0.492607,0
0.285619,0.541427,1
0.178033,0.584637,0
0.240327,0.405999,1
0.24166,0.251593,1
0.185909,0.633571,0
0.227385,0.10987,1
0.301123,0.396542,1
0.065726,0.470716,0
0.269676,0.447795,1
0.193086,0.511743,1
0.259953,0.526448,1
0.222637,0.498349,1
0.085911,0.341712,0
0.153219,0.558704,0
0.119238,0.497671,0
0.157027,0.624405,0
0.135021,0.794692,0
0.196086,0.409698,1
0.10466,0.710596,0
0.114742,0.285052,0
0.283133,0.68151,1
0.080342,0.514983,0
0.253382,0.380582,1
0.08351,0.440706,0
0.233102,0.667157,1
0.06366,0.666954,0
0.05526,0.298113,0
0.164485,0.738449,0
0.273794,0.424723,1
0.248779,0.493761,1
0.231182,0.428122,1
0.326547,0.683219,1
0.157368,0.504795,0
0.091634,0.79397,0
0.038309,0.494906,0
0.20769,0.538979,0
0.132822,0.530024,0
0.207857,0.715915,1
0.283926,0.376252,1
0.124343,0.417221,0
0.158121,0.574528,0
0.245351,0.578086,1
0.140786,0.447293,0
0.282146,0.702098,1
0.288466,0.55896,1
0.153161,0.544157,0
0.158341,0.615035,0
0.192828,0.356974,0
0.062634,0.589093,0
0.149029,0.443189,0
0.164343,0.567589,1
0.187075,0.632347,0
0.12219,0.604389,0
0.25092,0.479883,1
0.344186,0.324853,1
0.234601,0.421949,1
0.290573,0.564366,1
0.241639,0.454364,1
0.135305,0.464807,0
0.216009,0.592536,1
0.049246,0.495566,0
0.203363,0.50527,0
0.126437,0.550418,0
0.232905,0.225121,1
0.178526,0.513724,0
0.091213,0.552434,0
0.208126,0.694913,1
