@relation green.txt-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute cervix_area numeric
@attribute os_area numeric
@attribute walls_area numeric
@attribute speculum_area numeric
@attribute artifacts_area numeric
@attribute cervix_artifacts_area numeric
@attribute os_artifacts_area numeric
@attribute walls_artifacts_area numeric
@attribute speculum_artifacts_area numeric
@attribute cervix_specularities_area numeric
@attribute os_specularities_area numeric
@attribute walls_specularities_area numeric
@attribute speculum_specularities_area numeric
@attribute specularities_area numeric
@attribute area_h_max_diff numeric
@attribute rgb_cervix_r_mean numeric
@attribute rgb_cervix_r_std numeric
@attribute rgb_cervix_r_mean_minus_std numeric
@attribute rgb_cervix_r_mean_plus_std numeric
@attribute rgb_cervix_g_mean numeric
@attribute rgb_cervix_g_std numeric
@attribute rgb_cervix_g_mean_minus_std numeric
@attribute rgb_cervix_g_mean_plus_std numeric
@attribute rgb_cervix_b_mean numeric
@attribute rgb_cervix_b_std numeric
@attribute rgb_cervix_b_mean_minus_std numeric
@attribute rgb_cervix_b_mean_plus_std numeric
@attribute rgb_total_r_mean numeric
@attribute rgb_total_r_std numeric
@attribute rgb_total_r_mean_minus_std numeric
@attribute rgb_total_r_mean_plus_std numeric
@attribute rgb_total_g_mean numeric
@attribute rgb_total_g_std numeric
@attribute rgb_total_g_mean_minus_std numeric
@attribute rgb_total_g_mean_plus_std numeric
@attribute rgb_total_b_mean numeric
@attribute rgb_total_b_std numeric
@attribute rgb_total_b_mean_minus_std numeric
@attribute rgb_total_b_mean_plus_std numeric
@attribute hsv_cervix_h_mean numeric
@attribute hsv_cervix_h_std numeric
@attribute hsv_cervix_s_mean numeric
@attribute hsv_cervix_s_std numeric
@attribute hsv_cervix_v_mean numeric
@attribute hsv_cervix_v_std numeric
@attribute hsv_total_h_mean numeric
@attribute hsv_total_h_std numeric
@attribute hsv_total_s_mean numeric
@attribute hsv_total_s_std numeric
@attribute hsv_total_v_mean numeric
@attribute hsv_total_v_std numeric
@attribute fit_cervix_hull_rate numeric
@attribute fit_cervix_hull_total numeric
@attribute fit_cervix_bbox_rate numeric
@attribute fit_cervix_bbox_total numeric
@attribute fit_circle_rate numeric
@attribute fit_circle_total numeric
@attribute fit_ellipse_rate numeric
@attribute fit_ellipse_total numeric
@attribute fit_ellipse_goodness numeric
@attribute dist_to_center_cervix numeric
@attribute dist_to_center_os numeric
@attribute consensus {0,1}

@data
0.344647,0.136093,0.047522,0.477948,0.355193,0.055917,0,0.056831,0.010422,0.001604,0,0,0.233276,0.296091,0.419497,0.226287,0.26891,0.245418,0.253659,0.48294,0.477913,0.385866,0.528489,0.669211,0.525897,0.676462,0.690273,0.323096,0.511441,0.182041,0.438896,0.529789,0.496241,0.385331,0.593106,0.637578,0.759762,0.501047,0.787601,0.671384,0.962847,0.68825,0.339086,0.482934,0.477997,0.719094,0.805284,0.636593,0.236217,0.529759,0.496242,0.908806,0.376056,0.837919,0.409593,0.76281,0.318105,0.902271,0.380331,0.171406,0.174603,0.235965,1
0.165329,0,0.048236,0.837004,1,0.023673,0,0.127255,1,0.048813,0,0,0.149476,0.337979,0,0.358176,0.415023,0.344023,0.39854,0.53763,0.552026,0.418951,0.594098,0.949262,0.731373,0.904394,0.973637,0.460867,0.53067,0.346692,0.544264,0.566522,0.438145,0.477641,0.597425,0.826521,0.823303,0.670174,0.947739,0.646204,0.954211,0.533792,0.317158,0.537622,0.552166,0.715105,0.750069,0.505323,0.175684,0.566671,0.4386,0.837716,0.195706,0.64164,0.256589,0.6287,0.185148,0.838212,0.196391,0.250256,1,0.162058,0
0.45701,0.07429,0.242888,0.352985,0,0,0,0,0,0.021134,0,0,0.225727,0.221013,0.429424,0.236878,0.330789,0.231569,0.279281,0.481292,0.613853,0.327342,0.566327,0.664508,0.659306,0.581163,0.737086,0.345656,0.454658,0.25432,0.431503,0.610752,0.559326,0.449919,0.678672,0.698701,0.711094,0.607526,0.808024,0.684044,0.96028,0.670318,0.32805,0.481286,0.613989,0.714686,0.846055,0.648284,0.182254,0.610684,0.559259,0.904324,0.501132,0.741658,0.613624,0.8014,0.401504,0.862255,0.527734,0.190406,0.458863,0.321381,0
0.513244,0.252365,0.213781,0.417592,0.158707,0,0,0.022986,0.007401,0.015509,0,0.007611,0,0.008661,0.170341,0.278822,0.301737,0.295709,0.304291,0.50999,0.537847,0.392539,0.567647,0.625447,0.440765,0.676282,0.626012,0.338279,0.209482,0.430112,0.325453,0.571897,0.360261,0.541561,0.570452,0.663758,0.303544,0.87223,0.59898,0.72982,0.955532,0.640264,0.334964,0.510009,0.537835,0.712064,0.769354,0.631789,0.123055,0.57183,0.359898,0.937007,0.543164,0.848789,0.602149,0.781445,0.462422,0.903784,0.565436,0.148841,0.265983,0.253939,1
0.390319,0.417769,0.272884,0.619354,0,0,0,0,0,0.00236,0,0.007342,0.194163,0.318109,0.704834,0.226038,0.246251,0.254947,0.247142,0.443953,0.458623,0.348316,0.491384,0.656345,0.417476,0.732146,0.639957,0.341238,0.521453,0.198067,0.455847,0.542851,0.459945,0.429517,0.58842,0.675923,0.741703,0.558519,0.806067,0.658446,0.954075,0.648123,0.398143,0.443969,0.458618,0.704525,0.788247,0.626693,0.247377,0.542806,0.459939,0.941227,0.411221,0.876156,0.443628,0.788776,0.348402,0.897219,0.433158,0.123423,0.367911,0.61804,1
0.553354,0.418549,0.094315,0,0,0,0,0,0,0.065929,0,0,0,0.036029,0.576363,0.233859,0.366958,0.212161,0.286987,0.452152,0.459884,0.357377,0.498381,0.635953,0.579826,0.59704,0.686138,0.302794,0.223741,0.373178,0.306215,0.536269,0.320379,0.521946,0.527975,0.612332,0.37623,0.758908,0.596185,0.683587,0.955986,0.658203,0.386752,0.45216,0.46008,0.716358,0.838152,0.648567,0.124975,0.536176,0.320129,0.966371,0.567818,0.782589,0.704125,0.929996,0.418924,0.931364,0.591573,0.084904,0.503614,0.193571,1
0.543618,0.26192,0.329241,0.144018,0.105076,0.328077,0.000443,0,0,0.039588,0,0,0,0.021253,0.290209,0.270493,0.352393,0.263488,0.311846,0.502822,0.566965,0.372035,0.570237,0.749853,0.634366,0.709146,0.790447,0.314867,0.226746,0.386609,0.315991,0.498306,0.430042,0.390491,0.543254,0.621847,0.460148,0.707065,0.640842,0.669528,0.951475,0.627238,0.39907,0.503041,0.566195,0.723216,0.754249,0.589672,0.16685,0.498476,0.429283,0.93819,0.574583,0.773629,0.699747,0.899543,0.425486,0.9251,0.585099,0.113371,0.204121,0.145986,1
0.510726,0.473869,0.113227,0.351376,0.167586,0.549944,0.453589,0,0,0.077565,0.155223,0,0,0.039122,0.440187,0.240174,0.449041,0.18429,0.314869,0.440559,0.715191,0.237527,0.562568,0.655768,0.765558,0.498749,0.770698,0.31153,0.262743,0.355049,0.328434,0.500327,0.450649,0.378273,0.552962,0.614939,0.4721,0.690205,0.641458,0.67794,0.939559,0.619353,0.497021,0.440707,0.715062,0.71965,0.770201,0.599522,0.184416,0.500358,0.450242,0.924273,0.547946,0.811537,0.6267,0.824439,0.436157,0.908023,0.560036,0.147889,0.342337,0.22585,1
0.51296,0.77991,0.251531,0.295395,0,0,0,0,0,0.094109,0.013473,0,0.793695,0.666097,0.203794,0.317063,0.468463,0.270318,0.380989,0.396136,0.452432,0.294988,0.450908,1,0.702323,0.989986,1,0.551902,0.701967,0.33557,0.679111,0.558197,0.543314,0.389874,0.63305,1,0.648244,1,0.988963,0.445332,0.928952,0.457686,0.398854,0.405503,0.437074,0.569648,0.488777,0.431681,0.176889,0.564852,0.535731,0.967894,0.525539,0.855354,0.597197,0.993103,0.363666,0.9433,0.54145,0.079757,0.286378,0.370701,1
0.565021,0.447619,0.340475,0.054736,0,0,0,0,0,0.009326,0,0,0.293907,0.047638,0.146907,0.221238,0.262334,0.242069,0.247839,0.555962,0.326397,0.534324,0.543917,0.656245,0.331889,0.789219,0.607633,0.294514,0.250493,0.34218,0.311359,0.647558,0.313452,0.678764,0.608335,0.639954,0.352317,0.808464,0.604544,0.679488,0.974169,0.747302,0.279658,0.555952,0.326469,0.709802,0.909982,0.724721,0.075244,0.647474,0.313186,0.922989,0.607041,0.820641,0.685633,0.770449,0.516338,0.911963,0.616897,0.200696,0.185709,0.177152,1
