@relation microarray.txt

@attribute Score numeric
@attribute totalMFE numeric
@attribute seedMFE numeric
@attribute totalGC numeric
@attribute totalAU numeric
@attribute seedGC numeric
@attribute seedAT numeric
@attribute seedGU numeric
@attribute Pos_2 numeric
@attribute Pos_4 numeric
@attribute Pos_6 numeric
@attribute Pos_7 numeric
@attribute Class {Target,Non-Target}

@data
154,-25.5,-20.9,6,7,4,3,0,1,1,2,2,Target
153,-27.9,-20.9,5,9,4,3,0,1,1,2,2,Target
143,-26.3,-20.9,5,7,4,3,0,1,1,2,2,Target
152,-26.7,-20.9,6,7,4,3,0,1,1,2,2,Target
148,-25.1,-20.9,6,6,4,3,0,1,1,2,2,Target
148,-27.4,-20.9,5,6,4,3,0,1,1,2,2,Target
140,-24.82,-19.5,6,3,4,3,0,2,1,1,1,Target
148,-22.3,-19.5,4,6,4,3,0,2,1,1,1,Target
158,-23.3,-19.5,4,10,4,3,0,2,1,1,1,Target
153,-26.8,-19.5,7,6,4,3,0,2,1,1,1,Target
156,-29.9,-19.5,6,7,4,3,0,2,1,1,1,Target
147,-28.1,-19.5,6,5,4,3,0,2,1,1,1,Target
140,-23.6,-17.4,3,8,3,3,1,2,1,1,1,Target
141,-24.9,-17.4,4,9,3,3,1,2,1,3,1,Target
160,-28.4,-19.5,6,9,4,3,0,2,1,1,1,Target
154,-27.5,-20.9,6,7,4,3,0,1,1,2,2,Target
153,-28.2,-20.9,5,9,4,3,0,1,1,2,2,Target
143,-27.5,-20.9,5,7,4,3,0,1,1,2,2,Target
155,-23.6,-19.5,5,9,4,3,0,2,1,1,1,Target
146,-20.9,-19.5,5,6,4,3,0,2,1,1,1,Target
171,-26.2,-19.5,5,10,4,3,0,2,1,1,1,Target
152,-29.4,-19.5,7,8,4,3,0,2,1,1,1,Target
144,-20.6,-17.4,5,7,3,3,1,2,1,3,1,Target
143,-22,-19.5,4,6,4,3,0,2,1,1,1,Target
142,-25.8,-19.5,7,3,4,3,0,2,1,1,1,Target
165,-26.7,-19.5,6,9,4,3,0,2,1,1,1,Target
149,-27.9,-19.5,6,8,4,3,0,2,1,1,1,Target
146,-22.94,-19.5,6,7,4,3,0,2,1,1,1,Target
141,-22,-15.1,4,11,4,2,0,5,1,1,1,Target
168,-26.4,-20.9,7,8,4,3,0,1,1,2,2,Target
159,-27.2,-20.9,6,8,4,3,0,1,1,2,2,Target
157,-30.9,-20.9,6,7,4,3,0,1,1,2,2,Target
152,-26.1,-20.9,7,4,4,3,0,1,1,2,2,Target
151,-23.2,-20.9,6,6,4,3,0,1,1,2,2,Target
154,-21.7,-19.5,4,9,4,3,0,2,1,1,1,Target
144,-24.4,-17.4,4,9,3,3,1,2,1,3,1,Target
147,-30,-17.4,4,8,3,3,1,2,1,3,1,Target
141,-23.66,-15.1,5,8,4,2,0,5,1,1,1,Target
144,-30.8,-20.5,6,7,4,2,1,1,1,3,2,Target
142,-24.12,-19.5,5,5,4,3,0,2,1,1,1,Target
140,-23.64,-19.5,4,6,4,3,0,2,1,1,1,Target
146,-26.6,-19.5,6,5,4,3,0,2,1,1,1,Target
162,-28.1,-19.5,7,7,4,3,0,2,1,1,1,Target
158,-22,-19.5,4,8,4,3,0,2,1,1,1,Target
