@relation sea.data-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute atr1 numeric
@attribute atr2 numeric
@attribute atr3 numeric
@attribute class {0,1}

@data
0.667726,0.515215,0.298234,0
0.987445,0.881787,0.478621,1
0.711872,0.299051,0.196426,0
0.612824,0.844985,0.260428,1
0.759262,0.085969,0.576313,0
0.125505,0.592411,0.862698,1
0.781604,0.106788,0.805176,1
0.711863,0.325,0.48836,1
0.84022,0.786623,0.407109,1
0.668381,0.885761,0.807727,1
0.184799,0.004144,0.29136,0
0.849132,0.551816,0.068362,0
0.637797,0.644704,0.984171,1
0.237101,0.846868,0.758581,0
0.953656,0.563754,0.752861,1
0.888757,0.241214,0.045087,0
0.027831,0.452223,0.556636,1
0.337966,0.364357,0.07645,0
0.368522,0.367836,0.320384,0
0.919653,0.388773,0.826055,1
0.03347,0.810224,0.320743,1
0.657063,0.079317,0.289271,0
0.643082,0.042123,0.276224,0
0.283362,0.321337,0.260802,0
0.773567,0.817468,0.007391,1
0.181813,0.083865,0.634303,0
0.451719,0.954718,0.767997,1
0.343473,0.594048,0.928831,1
0.404252,0.249568,0.647523,0
0.328908,0.936825,0.672035,1
0.978948,0.948291,0.503826,1
0.269613,0.764657,0.573505,0
0.582098,0.580924,0.1547,0
0.664799,0.789032,0.314241,1
0.743718,0.082229,0.487887,1
0.676288,0.416713,0.464134,0
0.666292,0.111649,0.141841,0
0.048467,0.813906,0.967202,0
0.762164,0.471023,0.289715,1
0.235666,0.863249,0.074941,1
0.444152,0.229666,0.581678,1
0.018692,0.895949,0.225458,1
0.978178,0.713374,0.849612,1
0.130078,0.313741,0.735008,1
0.425409,0.876879,0.791577,1
0.690755,0.758777,0.501291,1
0.229787,0.791035,0.484692,1
0.654256,0.55966,0.283213,0
0.789332,0.864921,0.207347,1
0.760838,0.432832,0.570438,1
0.146195,0.420045,0.393471,1
0.733794,0.128472,0.072631,0
0.005346,0.864238,0.633083,1
0.622987,0.134367,0.149007,0
0.925404,0.633727,0.318223,1
0.193374,0.601464,0.678069,1
0.466363,0.885446,0.79074,1
0.31826,0.361172,0.966226,1
0.781223,0.359692,0.74074,1
0.488181,0.8134,0.674221,1
0.677608,0.307299,0.189619,0
0.441684,0.338652,0.153357,0
0.972378,0.471608,0.946757,1
0.073064,0.624822,0.148446,0
0.510244,0.939217,0.766635,1
0.300373,0.732859,0.292955,0
