@relation microarray.txt

@attribute Score numeric
@attribute AlignLen numeric
@attribute totalMFE numeric
@attribute seedMFE numeric
@attribute totalGC numeric
@attribute totalAU numeric
@attribute totalGU numeric
@attribute totalGaps numeric
@attribute totalMismatches numeric
@attribute seedGC numeric
@attribute seedAT numeric
@attribute seedGU numeric
@attribute seedMismatches numeric
@attribute Pos_1 numeric
@attribute Pos_2 numeric
@attribute Pos_3 numeric
@attribute Pos_4 numeric
@attribute Pos_5 numeric
@attribute Pos_6 numeric
@attribute Pos_7 numeric
@attribute Pos_8 numeric
@attribute Pos_9 numeric
@attribute Pos_10 numeric
@attribute Pos_11 numeric
@attribute Pos_12 numeric
@attribute Pos_13 numeric
@attribute Pos_14 numeric
@attribute Pos_15 numeric
@attribute Pos_16 numeric
@attribute Pos_17 numeric
@attribute Pos_18 numeric
@attribute Pos_19 numeric
@attribute Pos_20 numeric
@attribute Class {Target,Non-Target}

@data
154,17,-25.5,-20.9,6,7,2,2,3,4,3,0,0,5,1,2,1,1,2,2,1,4,2,4,2,3,1,3,2,1,2,5,5,Target
153,18,-27.9,-20.9,5,9,1,1,4,4,3,0,0,2,1,2,1,1,2,2,1,4,2,2,1,3,5,5,5,2,2,2,5,Target
143,23,-26.3,-20.9,5,7,3,4,1,4,3,0,0,2,1,2,1,1,2,2,1,4,4,4,4,2,2,3,1,3,5,3,2,Target
152,17,-26.7,-20.9,6,7,2,1,4,4,3,0,0,2,1,2,1,1,2,2,1,5,4,1,3,5,2,1,2,3,2,5,5,Target
148,19,-25.1,-20.9,6,6,3,3,2,4,3,0,0,5,1,2,1,1,2,2,1,4,4,4,2,2,3,1,5,3,3,2,1,Target
148,19,-27.4,-20.9,5,6,4,0,5,4,3,0,0,3,1,2,1,1,2,2,1,2,5,5,5,2,5,1,5,3,2,3,3,Target
140,7,-24.82,-19.5,6,3,3,0,8,4,3,0,0,3,2,1,1,2,1,1,2,5,5,3,5,5,5,1,1,5,5,3,5,Target
148,19,-22.3,-19.5,4,6,7,0,3,4,3,0,0,2,2,1,1,2,1,1,2,5,2,3,5,5,3,3,3,2,3,3,3,Target
158,19,-23.3,-19.5,4,10,2,1,3,4,3,0,0,3,2,1,1,2,1,1,2,5,2,2,4,2,2,2,5,5,3,2,2,Target
153,22,-26.8,-19.5,7,6,1,4,2,4,3,0,0,3,2,1,1,2,1,1,2,4,4,1,2,5,5,2,2,1,1,4,4,Target
156,17,-29.9,-19.5,6,7,3,1,3,4,3,0,0,3,2,1,1,2,1,1,2,1,2,2,5,5,4,2,1,3,2,5,3,Target
147,16,-28.1,-19.5,6,5,4,1,4,4,3,0,0,3,2,1,1,2,1,1,2,1,4,2,3,5,5,2,1,3,5,3,5,Target
140,13,-23.6,-17.4,3,8,2,1,6,3,3,1,0,3,2,3,1,2,1,1,2,4,2,2,2,2,2,5,5,5,5,5,5,Target
141,18,-24.9,-17.4,4,9,3,1,3,3,3,1,0,2,2,1,1,2,3,1,2,4,2,3,5,5,2,1,3,2,2,2,5,Target
